customer_id,account_id,customer_name,status,city
C009000137,ACC-C009000137,Priya Pillai,ACTIVE,Pune
C009000274,ACC-C009000274,Ishaan Bose,ACTIVE,Chennai
C009000411,ACC-C009000411,Kiara Shetty,ACTIVE,Hyderabad
C009000548,ACC-C009000548,Suresh Rao,ACTIVE,Bengaluru
C009000685,ACC-C009000685,Arjun Iyer,ACTIVE,Ahmedabad
C009000822,ACC-C009000822,Priya Chopra,ACTIVE,Kolkata
C009000959,ACC-C009000959,Vihaan Chopra,ACTIVE,Mumbai
C009001096,ACC-C009001096,Vihaan Nair,ACTIVE,Surat
C009001233,ACC-C009001233,Ananya Malhotra,ACTIVE,Pune
C009001370,ACC-C009001370,Reyansh Pillai,ACTIVE,Ahmedabad
C009001507,ACC-C009001507,Ananya Chopra,ACTIVE,Ahmedabad
C009001644,ACC-C009001644,Arjun Rao,ACTIVE,Hyderabad
C009001781,ACC-C009001781,Sneha Malhotra,ACTIVE,Kolkata
C009001918,ACC-C009001918,Rahul Malhotra,ACTIVE,Jaipur
C009002055,ACC-C009002055,Neha Das,ACTIVE,Mumbai
C009002192,ACC-C009002192,Myra Pillai,ACTIVE,Pune
C009002329,ACC-C009002329,Priya Menon,ACTIVE,Chennai
C009002466,ACC-C009002466,Ananya Chopra,ACTIVE,Kolkata
C009002603,ACC-C009002603,Riya Patel,ACTIVE,Pune
C009002740,ACC-C009002740,Vivaan Menon,ACTIVE,Kolkata
C009002877,ACC-C009002877,Aadhya Rao,ACTIVE,Ahmedabad
C009003014,ACC-C009003014,Vihaan Das,ACTIVE,Delhi
C009003151,ACC-C009003151,Krishna Das,ACTIVE,Surat
C009003288,ACC-C009003288,Sai Nair,ACTIVE,Mumbai
C009003425,ACC-C009003425,Sai Joshi,ACTIVE,Ahmedabad
C009003562,ACC-C009003562,Sneha Shetty,ACTIVE,Hyderabad
C009003699,ACC-C009003699,Pari Sharma,ACTIVE,Surat
C009003836,ACC-C009003836,Pari Das,ACTIVE,Surat
C009003973,ACC-C009003973,Rahul Iyer,ACTIVE,Mumbai
C009004110,ACC-C009004110,Diya Verma,ACTIVE,Mumbai
C009004247,ACC-C009004247,Suresh Sharma,ACTIVE,Mumbai
C009004384,ACC-C009004384,Pooja Chopra,ACTIVE,Bengaluru
C009004521,ACC-C009004521,Diya Malhotra,ACTIVE,Delhi
C009004658,ACC-C009004658,Anika Shetty,ACTIVE,Pune
C009004795,ACC-C009004795,Reyansh Verma,ACTIVE,Bengaluru
C009004932,ACC-C009004932,Rahul Malhotra,ACTIVE,Jaipur
C009005069,ACC-C009005069,Ishaan Bose,ACTIVE,Hyderabad
C009005206,ACC-C009005206,Kiara Bose,ACTIVE,Surat
C009005343,ACC-C009005343,Meera Iyer,ACTIVE,Mumbai
C009005480,ACC-C009005480,Anika Sharma,ACTIVE,Hyderabad
C009005617,ACC-C009005617,Amit Nair,ACTIVE,Jaipur
C009005754,ACC-C009005754,Reyansh Mehta,ACTIVE,Chennai
C009005891,ACC-C009005891,Vivaan Chopra,ACTIVE,Ahmedabad
C009006028,ACC-C009006028,Karan Malhotra,ACTIVE,Jaipur
C009006165,ACC-C009006165,Pooja Rao,ACTIVE,Mumbai
C009006302,ACC-C009006302,Sneha Nair,ACTIVE,Surat
C009006439,ACC-C009006439,Vivaan Kapoor,ACTIVE,Delhi
C009006576,ACC-C009006576,Anika Gupta,ACTIVE,Delhi
C009006713,ACC-C009006713,Priya Shetty,ACTIVE,Jaipur
C009006850,ACC-C009006850,Aditya Verma,ACTIVE,Kolkata
C009006987,ACC-C009006987,Krishna Kapoor,ACTIVE,Delhi
C009007124,ACC-C009007124,Ananya Das,ACTIVE,Chennai
C009007261,ACC-C009007261,Neha Menon,ACTIVE,Mumbai
C009007398,ACC-C009007398,Pari Patel,ACTIVE,Ahmedabad
C009007535,ACC-C009007535,Aadhya Chopra,ACTIVE,Surat
C009007672,ACC-C009007672,Myra Singh,ACTIVE,Ahmedabad
C009007809,ACC-C009007809,Suresh Verma,ACTIVE,Ahmedabad
C009007946,ACC-C009007946,Vihaan Gupta,ACTIVE,Delhi
C009008083,ACC-C009008083,Sneha Reddy,ACTIVE,Chennai
C009008220,ACC-C009008220,Kiara Shetty,ACTIVE,Surat
C009008357,ACC-C009008357,Diya Bose,ACTIVE,Delhi
C009008494,ACC-C009008494,Pooja Kumar,ACTIVE,Hyderabad
C009008631,ACC-C009008631,Karan Iyer,ACTIVE,Surat
C009008768,ACC-C009008768,Saanvi Verma,ACTIVE,Jaipur
C009008905,ACC-C009008905,Neha Chopra,ACTIVE,Surat
C009009042,ACC-C009009042,Myra Shetty,ACTIVE,Jaipur
C009009179,ACC-C009009179,Sai Mehta,ACTIVE,Jaipur
C009009316,ACC-C009009316,Riya Rao,ACTIVE,Kolkata
C009009453,ACC-C009009453,Sai Reddy,ACTIVE,Hyderabad
C009009590,ACC-C009009590,Ishaan Kapoor,ACTIVE,Pune
C009009727,ACC-C009009727,Anika Joshi,ACTIVE,Delhi
C009009864,ACC-C009009864,Vivaan Pillai,ACTIVE,Bengaluru
C009010001,ACC-C009010001,Krishna Rao,ACTIVE,Chennai
C009010138,ACC-C009010138,Sneha Menon,ACTIVE,Chennai
C009010275,ACC-C009010275,Sai Patel,ACTIVE,Ahmedabad
C009010412,ACC-C009010412,Myra Verma,ACTIVE,Jaipur
C009010549,ACC-C009010549,Arjun Bose,ACTIVE,Surat
C009010686,ACC-C009010686,Rahul Rao,ACTIVE,Hyderabad
C009010823,ACC-C009010823,Krishna Verma,ACTIVE,Jaipur
C009010960,ACC-C009010960,Neha Joshi,ACTIVE,Hyderabad
C009011097,ACC-C009011097,Sara Gupta,ACTIVE,Surat
C009011234,ACC-C009011234,Vivaan Nair,ACTIVE,Kolkata
C009011371,ACC-C009011371,Saanvi Mehta,ACTIVE,Jaipur
C009011508,ACC-C009011508,Myra Malhotra,ACTIVE,Chennai
C009011645,ACC-C009011645,Arjun Menon,ACTIVE,Bengaluru
C009011782,ACC-C009011782,Rohan Shetty,ACTIVE,Kolkata
C009011919,ACC-C009011919,Rohan Malhotra,ACTIVE,Bengaluru
C009012056,ACC-C009012056,Rahul Gupta,ACTIVE,Pune
C009012193,ACC-C009012193,Amit Joshi,ACTIVE,Kolkata
C009012330,ACC-C009012330,Pari Bose,ACTIVE,Delhi
